Date,Sequence Number,Service Provider Name,Location,Type,Service Class,Discount Sum,Amount,Balance
11/19/2023 8:19:41 pm,1294,Toronto Transit Commission,Lawrence Ave West At Weston Rd,Transit Pass Payment,Regular,0,3.3,0
11/19/2023 3:21:35 pm,1293,Toronto Transit Commission,OSHAWA BT,Transit Pass Payment,Regular,0,0,0
11/19/2023 3:10:26 pm,1292,Toronto Transit Commission,Lawrence Ave West At Lorindale Ave,Transit Pass Payment,Regular,0,0,0
11/19/2023 2:53:32 pm,1291,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/19/2023 1:05:43 am,1290,Toronto Transit Commission,ISLING,Transit Pass Payment,Regular,0,3.3,0
11/18/2023 10:01:48 pm,1289,Toronto Transit Commission,WELSLY,Transit Pass Payment,Regular,0,3.3,0
11/18/2023 7:56:14 pm,1288,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/18/2023 3:53:24 pm,1287,Toronto Transit Commission,VICPK,Transit Pass Payment,Regular,0,3.3,0
11/18/2023 3:18:05 pm,1286,Toronto Transit Commission,Kingston Rd At Warden Ave,Transit Pass Payment,Regular,0,0,0
11/18/2023 1:32:12 pm,1285,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/18/2023 12:15:45 am,1284,Toronto Transit Commission,COLLG,Transit Pass Payment,Regular,0,0,0
11/18/2023 12:06:42 am,1283,Toronto Transit Commission,Gerrard St East At Parliament St,Transit Pass Payment,Regular,0,3.3,0
11/17/2023 8:52:02 pm,1282,Toronto Transit Commission,College St At Yonge St (College Station),Transit Pass Payment,Regular,0,0,0
11/17/2023 8:28:59 pm,1281,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/16/2023 2:32:22 pm,1280,Toronto Transit Commission,Yonge St At Kempford Blvd,Transit Pass Payment,Regular,0,0,0
11/16/2023 1:46:59 pm,1279,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
11/15/2023 2:27:50 pm,1278,Toronto Transit Commission,Yonge St At North York Blvd,Transit Pass Payment,Regular,0,0,0
11/15/2023 2:22:34 pm,1277,Toronto Transit Commission,NYCTR,Transit Pass Payment,Regular,0,0,0
11/15/2023 1:45:38 pm,1276,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
11/14/2023 2:04:13 pm,1275,Toronto Transit Commission,Yonge St At Park Home Ave (North York Centre Station),Transit Pass Payment,Regular,0,3.3,0
11/12/2023 6:53:08 pm,1274,Toronto Transit Commission,Coxwell Ave At Eastwood Rd,Transit Pass Payment,Regular,0,0,0
11/12/2023 5:27:52 pm,1273,Toronto Transit Commission,OSGOOD,Transit Pass Payment,Regular,0,3.3,0
11/12/2023 12:42:24 pm,1272,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/11/2023 5:36:59 pm,1271,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/11/2023 2:35:01 pm,1270,Toronto Transit Commission,Sheppard Ave West At Wilson Heights Blvd,Transit Pass Payment,Regular,0,0,0
11/11/2023 2:19:43 pm,1269,Toronto Transit Commission,DOWNS,Transit Pass Payment,Regular,0,0,0
11/11/2023 12:51:32 pm,1268,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
